"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7237","Elements - Radio Button @smoke","chromium","2026-09-24","passed","2026-09-24","","radio-button.spec.js","",""
"","11787","Elements - Dynamic Properties @regression","chromium","2026-09-24","passed","2026-09-24","","dynamic-properties.spec.js","",""
"","39689","Elements - Buttons @smoke","chromium","2026-09-24","failed","2026-09-24","","buttons.spec.js","",""
"","12636","Elements - Web Tables Search and Delete @regression","chromium","2026-09-24","passed","2026-09-24","","web-tables.spec.js","",""
"","14043","Alerts, Frames, Windows - Alerts @regression","chromium","2026-09-24","passed","2026-09-24","","alerts.spec.js","",""
"","11471","Forms - Practice Form @smoke","chromium","2026-09-24","passed","2026-09-24","","practice-form.spec.js","",""
"","17278","should submit Text Box using JSON data @smoke","chromium","2026-09-24","passed","2026-09-24","Elements - Text Box","text-box.spec.js","",""
"","12317","Elements - Check Box @smoke","chromium","2026-09-24","passed","2026-09-24","","checkbox.spec.js","",""
"","9034","Advanced Level - Shadow DOM @regression","chromium","2026-09-24","passed","2026-09-24","","shadow-dom.spec.js","",""
"","22420","Alerts, Frames, Windows - Browser Windows @regression","chromium","2026-09-24","passed","2026-09-24","","browser-windows.spec.js","",""
"","11801","Alerts, Frames, Windows - Frames @regression","chromium","2026-09-24","passed","2026-09-24","","frames.spec.js","",""
